Branch,"Class Name",Section,Error
"I 8 DAYCARE ISLAMABAD","BUTTER FLIES",A,"Class-Section combination already exists"
"I 8 DAYCARE ISLAMABAD",INFANT,A,"Class-Section combination already exists"
"I 8 DAYCARE ISLAMABAD","PLAY GROUP",A,"Class-Section combination already exists"
"I 8 NURSERY BRANCH ISLAMABAD","PRE NURSERY",BLUE,"Class-Section combination already exists"
"I 8 NURSERY BRANCH ISLAMABAD",Nursery,BLUE,"Class-Section combination already exists"
"I 8 NURSERY BRANCH ISLAMABAD",KG,BLUE,"Class-Section combination already exists"
"I 8 PRIMARY BRANCH ISLAMABAD",Grade-1,ALPHA,"Class-Section combination already exists"
"I 8 PRIMARY BRANCH ISLAMABAD",Grade-2,ALPHA,"Class-Section combination already exists"
"I 8 PRIMARY BRANCH ISLAMABAD",Grade-3,ALPHA,"Class-Section combination already exists"
"I 8 PRIMARY BRANCH ISLAMABAD",Grade-4,ALPHA,"Class-Section combination already exists"
"I 8 SENIOR BRANCH ISLAMABAD",Grade-5,A,"Class-Section combination already exists"
"I 8 SENIOR BRANCH ISLAMABAD",Grade-6,A,"Class-Section combination already exists"
"I 8 SENIOR BRANCH ISLAMABAD",Grade-7,A,"Class-Section combination already exists"
"I 8 SENIOR BRANCH ISLAMABAD",MATRIC-8,A,"Class-Section combination already exists"
"I 8 SENIOR BRANCH ISLAMABAD",IGCSE-8,A,"Class-Section combination already exists"
"I 8 SENIOR BRANCH ISLAMABAD",MATRIC-9,A,"Class-Section combination already exists"
"I 8 SENIOR BRANCH ISLAMABAD",IGCSE-9,A,"Class-Section combination already exists"
"I 8 SENIOR BRANCH ISLAMABAD",MATRIC-10,A,"Class-Section combination already exists"
"I 8 SENIOR BRANCH ISLAMABAD",IGCSE-10,A,"Class-Section combination already exists"
"SATELLITE TOWN NURSERY BRANCH RAWALPINDI",DAYCARE,A,"Class-Section combination already exists"
"SATELLITE TOWN NURSERY BRANCH RAWALPINDI","Play Group",A,"Class-Section combination already exists"
"SATELLITE TOWN NURSERY BRANCH RAWALPINDI","PRE NURSERY",A,"Class-Section combination already exists"
"SATELLITE TOWN NURSERY BRANCH RAWALPINDI",NURSERY,A,"Class-Section combination already exists"
"SATELLITE TOWN NURSERY BRANCH RAWALPINDI",KG,A,"Class-Section combination already exists"
"SATELLITE TOWN NURSERY BRANCH RAWALPINDI",Grade-1,A,"Class-Section combination already exists"
"SATELLITE TOWN SENIOR BRANCH RAWALPINDI",Grade-2,A,"Class-Section combination already exists"
"SATELLITE TOWN SENIOR BRANCH RAWALPINDI",Grade-3,A,"Class-Section combination already exists"
"SATELLITE TOWN SENIOR BRANCH RAWALPINDI",Grade-4,A,"Class-Section combination already exists"
"SATELLITE TOWN SENIOR BRANCH RAWALPINDI",Grade-5,A,"Class-Section combination already exists"
"SATELLITE TOWN SENIOR BRANCH RAWALPINDI",Grade-6,A,"Class-Section combination already exists"
"SATELLITE TOWN SENIOR BRANCH RAWALPINDI",Grade-7,A,"Class-Section combination already exists"
"SATELLITE TOWN SENIOR BRANCH RAWALPINDI",MATRIC-8,A,"Class-Section combination already exists"
"SATELLITE TOWN SENIOR BRANCH RAWALPINDI",IGCSE-8,A,"Class-Section combination already exists"
"SATELLITE TOWN SENIOR BRANCH RAWALPINDI",MATRIC-9,A,"Class-Section combination already exists"
"SATELLITE TOWN SENIOR BRANCH RAWALPINDI",MATRIC-10,A,"Class-Section combination already exists"
