class name,Sections,Branch
BUTTER FLIES,A,I-8/4  DAYCARE BRANCH ISLAMABAD
INFANT,A,I-8/4  DAYCARE BRANCH ISLAMABAD
PLAY GROUP,A,I-8/4  DAYCARE BRANCH ISLAMABAD
PRE NURSERY,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
PRE NURSERY,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
PRE NURSERY,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
PRE NURSERY,RED,I-8/4 NURSERY BRANCH ISLAMABAD
PRE NURSERY,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
Nursery,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
Nursery,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
Nursery,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
Nursery,RED,I-8/4 NURSERY BRANCH ISLAMABAD
Nursery,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
KG,BLUE,I-8/4 NURSERY BRANCH ISLAMABAD
KG,GREEN,I-8/4 NURSERY BRANCH ISLAMABAD
KG,PURPLE,I-8/4 NURSERY BRANCH ISLAMABAD
KG,RED,I-8/4 NURSERY BRANCH ISLAMABAD
KG,YELLOW,I-8/4 NURSERY BRANCH ISLAMABAD
Grade-1,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
Grade-1,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
Grade-1,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
Grade-1,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
Grade-1,NINJA,I-8/4  PRIMARY BRANCH ISLAMABAD
Grade-2,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
Grade-2,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
Grade-2,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
Grade-2,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
Grade-3,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
Grade-3,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
Grade-3,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
Grade-3,DELTA,I-8/4  PRIMARY BRANCH ISLAMABAD
Grade-4,ALPHA,I-8/4  PRIMARY BRANCH ISLAMABAD
Grade-4,BRAVO,I-8/4  PRIMARY BRANCH ISLAMABAD
Grade-4,CHARLIE,I-8/4  PRIMARY BRANCH ISLAMABAD
Grade-5,A,I-8/4 SENIOR BRANCH ISLAMABAD
Grade-5,B,I-8/4 SENIOR BRANCH ISLAMABAD
Grade-5,C,I-8/4 SENIOR BRANCH ISLAMABAD
Grade-6,A,I-8/4 SENIOR BRANCH ISLAMABAD
Grade-6,B,I-8/4 SENIOR BRANCH ISLAMABAD
Grade-6,C,I-8/4 SENIOR BRANCH ISLAMABAD
Grade-7,A,I-8/4 SENIOR BRANCH ISLAMABAD
Grade-7,B,I-8/4 SENIOR BRANCH ISLAMABAD
MATRIC-8,A,I-8/4 SENIOR BRANCH ISLAMABAD
IGCSE-8,A,I-8/4 SENIOR BRANCH ISLAMABAD
MATRIC-9,A,I-8/4 SENIOR BRANCH ISLAMABAD
IGCSE-9,A,I-8/4 SENIOR BRANCH ISLAMABAD
MATRIC-10,A,I-8/4 SENIOR BRANCH ISLAMABAD
IGCSE-10,A,I-8/4 SENIOR BRANCH ISLAMABAD
DAYCARE,A,SATELLITE TOWN NURSERY BRANCH RWP
Play Group,A,SATELLITE TOWN NURSERY BRANCH RWP
PRE NURSERY,A,SATELLITE TOWN NURSERY BRANCH RWP
PRE NURSERY,B,SATELLITE TOWN NURSERY BRANCH RWP
NURSERY,A,SATELLITE TOWN NURSERY BRANCH RWP
NURSERY,B,SATELLITE TOWN NURSERY BRANCH RWP
KG,A,SATELLITE TOWN NURSERY BRANCH RWP
KG,B,SATELLITE TOWN NURSERY BRANCH RWP
KG,C,SATELLITE TOWN NURSERY BRANCH RWP
Grade-1,A,SATELLITE TOWN NURSERY BRANCH RWP
Grade-1,B,SATELLITE TOWN NURSERY BRANCH RWP
Grade-1,C,SATELLITE TOWN NURSERY BRANCH RWP
Grade-2,A,SATELLITE TOWN SENIOR BRANCH RWP
Grade-2,B,SATELLITE TOWN SENIOR BRANCH RWP
Grade-3,A,SATELLITE TOWN SENIOR BRANCH RWP
Grade-3,B,SATELLITE TOWN SENIOR BRANCH RWP
Grade-4,A,SATELLITE TOWN SENIOR BRANCH RWP
Grade-4,B,SATELLITE TOWN SENIOR BRANCH RWP
Grade-5,A,SATELLITE TOWN SENIOR BRANCH RWP
Grade-5,B,SATELLITE TOWN SENIOR BRANCH RWP
Grade-6,A,SATELLITE TOWN SENIOR BRANCH RWP
Grade-6,B,SATELLITE TOWN SENIOR BRANCH RWP
Grade-7,A,SATELLITE TOWN SENIOR BRANCH RWP
Grade-7,B,SATELLITE TOWN SENIOR BRANCH RWP
MATRIC-8,A,SATELLITE TOWN SENIOR BRANCH RWP
IGCSE-8,A,SATELLITE TOWN SENIOR BRANCH RWP
MATRIC-9,A,SATELLITE TOWN SENIOR BRANCH RWP
MATRIC-10,A,SATELLITE TOWN SENIOR BRANCH RWP
