ID,Discount Category
1,50%Tuition Fee+50%SECURITY+50%ADM(STAFF CONCESSION)
6,20%Tuition Fee (MD CONCESSION)
9,30%Tuition Fee(SIBLING/REGULAR DISCOUNT)
10,50%Tuition Fee(SIBLING DISCOUNT)
19,20%Tuition Fee (SIBLING DISCOUNT SESSION 2017-18)
20,0%Tuition Fee+50%ADM+50% SEC
2286,35% Tuition Fee+50% ADM + 90% SECURITY
2287,35% Tuition Fee 50% ADM 70% SEC
2288,40% Tuition Fee
2289,34% Tuition Fee
2290,33% Tuition Fee
2279,30%Tuition Fee+50%ADM+100%SEC
2280,7% Tuition Fee
2281,30%Tuition Fee+75%ADM+100%SECURITY
2282,30%Tuition Fee+70%ADM+100%SEC
2284,35%Tuition Fee+70%ADM+100%SEC
2285,SPECIAL DISCOUNT BY MS.MARIA
2273,20% Tuition Fee 30% ADM 90% SEC
2274,25%Tuition Fee+30%ADM+90%SEC
2275,10%Tuition Fee+30%ADM+90%SECURITY
2276,25%Tuition Fee+35%ADM+90%SECURITY
2277,35%Tuition Fee+50%ADM+100%SEC
2278,50%Tuition Fee (IGCSE/MATRIC STAFF)
2267,15%Tuition Fee+20%ADM+100%SEC
2268,30%Tuition Fee+30%ADM+100%SEC
2269,40%Tuition Fee+100%ADM+80%SEC
2270,25% Tuition Fee 60% ADM 90% SEC
2271,28%Tuition Fee+50%ADM+100%SEC
2272,20% Tuition Fee+30%ADM+90%SEC
2260,60%Tuition Fee+100%ADM+100%SEC
2261,30%Tuition Fee+60%ADM+70%SEC
2262,30%Tuition Fee+50%ADM+90%SEC
2263,25%Tuition Fee+20%ADM+50%SEC
2265,27%Tuition Fee+50% ADM +70%SEC
2266,26.5%Tuition Fee
2254,35%Tuition Fee+55%ADM+80%SEC
2255,15%Tuition Fee+100%ADM
2256,30%Tuition Fee+50% ADM+70% SEC
2257,35%Tuition Fee+ 60%ADM+ 80% SEC
2258,35%Tuition Fee+60%ADM+90%SEC
2259,30%Tuition Fee+60%ADM+80%SEC
2248,10%Tuition Fee+30%ADM+50%SECURITY
2249,15%Tuition Fee+50% ADM+ 85% SEC
2250,25%Tuition Fee+55%ADM+80%SECURITY
2251,10%Tuition Fee+10%ADM+50%SECURITY
2252,25% Tuition Fee 50% ADM 50% SEC
2253,26%Tuition Fee+50%ADM+80%SEC
2242,0%Tuition Fee+25%ADM+50%SECURITY
2243,30%Tuition Fee+60% ADM+ 85% SEC
2244,100%Tuition Fee (STAFF)
2245,15%Tuition Fee+30%ADM+50%SECURITY
2246,10%Tuition Fee+15%ADM+50%SECURITY
2247,60%Tuition Fee+100%ADM+50%SEC(STAFF)
2235,10%Tuition Fee+40%ADM+100%SECURITY
2237,30%Tuition Fee+60%ADM+90%SECURITY
2238,30%Tuition Fee+60%ADM+100%SECURITY
2239,25%Tuition Fee+50% ADM+80% SEC
2240,10%Tuition Fee+50% ADM+ 90% SEC
2241,33%Tuition Fee+60% ADM+90% SEC
2229,20%Tuition Fee+25%ADM+50% SECUIRTY
2230,20%Tuition Fee+0%ADM+60%SECURITY
2231,15%Tuition Fee+0%ADM+70%SECURITY
2232,14%Tuition Fee+50%ADM+100%SECURITY
2233,20%Tuition Fee+50%ADM +90%SEC
2234,26%Tuition Fee+60%ADM+100% SECUIRTY
2223,30%Tuition Fee+100%ADM+50% SECURITY
2224,30%Tuition Fee+100%ADM+65%SECURITY
2225,30%Tuition Fee+100%ADM+100% SECURITY
2226,27%Tuition Fee+100%ADM+85% SECURITY
2227,20%Tuition Fee+50%ADM+80% SECURITY
2228,25%Tuition Fee+20%ADM+60% SECURITY
2217,35%Tuition Fee+100%ADM+80%SECURITY
2218,26.67%Tuition Fee+100%ADM+80%SECURITY
2219,10%Tuition Fee+100%ADM+85% SECURITY
2220,20%Tuition Fee+100%ADM+0%SECURITY
2221,20%Tuition Fee+100%ADM+75%SECURITY
