Scale No,InitialBasic,HouseRent,Medical,Special,Allowances,GrossPay,IsAdhoc,Effect From,Department,Active Status
1,8959,3584,896,,4480,13439,False,01/09/2016,Academic,Inactive
2,9228,3691,923,,4614,13842,False,01/09/2016,Academic,Inactive
3,9505,3802,950,,4752,14257,False,01/09/2016,Academic,Inactive
4,9790,3916,979,,4895,14685,False,01/09/2016,Academic,Inactive
5,10084,4034,1008,,5042,15126,False,01/09/2016,Academic,Inactive
6,10386,4155,1039,,5194,15580,False,01/09/2016,Academic,Inactive
7,10698,4279,1070,,5349,16047,False,01/09/2016,Academic,Inactive
8,11019,4408,1102,,5510,16528,False,01/09/2016,Academic,Inactive
9,8445,4540,1135,,5675,17024,False,01/09/2016,Academic,Inactive
10,11690,4676,1169,,5845,17535,False,01/09/2016,Academic,Inactive
11,12041,4816,1204,,6020,18061,False,01/09/2016,Academic,Inactive
12,12402,4961,1240,,6201,18603,False,01/09/2016,Academic,Inactive
13,12774,5110,1277,,6387,19161,False,01/09/2016,Academic,Inactive
14,13157,5263,1316,,6579,19736,False,01/09/2016,Academic,Inactive
15,13552,5421,1355,,6776,20328,False,01/09/2016,Academic,Inactive
16,13958,5583,1396,,6979,20938,False,01/09/2016,Academic,Inactive
17,14377,5751,1438,,7189,21566,False,01/09/2016,Academic,Inactive
18,14808,5923,1481,,7404,22213,False,01/09/2016,Academic,Inactive
19,15253,6101,1525,,7626,22879,False,01/09/2016,Academic,Inactive
20,15710,6284,1571,,7855,23565,False,01/09/2016,Academic,Inactive
21,16182,6473,1618,,8091,24272,False,01/09/2016,Academic,Inactive
22,16667,6667,1667,,8334,25001,False,01/09/2016,Academic,Inactive
23,17167,6867,1717,,8584,25751,False,01/09/2016,Academic,Inactive
24,17682,7073,1768,,8841,26523,False,01/09/2016,Academic,Inactive
25,18213,7285,1821,,9106,27319,False,01/09/2016,Academic,Inactive
26,18759,7504,1876,,9380,28138,False,01/09/2016,Academic,Inactive
27,19322,7729,1932,,9661,28982,False,01/09/2016,Academic,Inactive
28,19901,7961,1990,,9951,29852,False,01/09/2016,Academic,Inactive
29,20498,8199,2050,,10249,30748,False,01/09/2016,Academic,Inactive
30,21113,8445,2111,,10556,31670,False,01/09/2016,Academic,Inactive
31,21747,8699,2175,,10874,32620,False,01/09/2016,Academic,Inactive
32,22399,8960,2240,,11200,33599,False,01/09/2016,Academic,Inactive
33,23071,9228,2307,,11535,34607,False,01/09/2016,Academic,Inactive
34,23763,9505,2376,,11881,35645,False,01/09/2016,Academic,Inactive
35,24476,9790,2448,,12238,36714,False,01/09/2016,Academic,Inactive
36,25210,10084,2521,,12605,37816,False,01/09/2016,Academic,Inactive
37,25967,10387,2597,,12984,38950,False,01/09/2016,Academic,Inactive
38,26746,10698,2675,,13373,40119,False,01/09/2016,Academic,Inactive
39,27548,11019,2755,,13774,41322,False,01/09/2016,Academic,Inactive
40,28375,11350,2837,,14187,42562,False,01/09/2016,Academic,Inactive
41,29226,11690,2923,,14613,43839,False,01/09/2016,Academic,Inactive
42,30103,12041,3010,,15051,45154,False,01/09/2016,Academic,Inactive
43,31006,12402,3101,,15503,46508,False,01/09/2016,Academic,Inactive
44,31936,12774,3194,,15968,47904,False,01/09/2016,Academic,Inactive
45,32894,13158,3289,,16447,49341,False,01/09/2016,Academic,Inactive
46,33881,13552,3388,,16940,50821,False,01/09/2016,Academic,Inactive
47,34897,13959,3490,,17449,52346,False,01/09/2016,Academic,Inactive
48,35944,14378,3594,,17972,53916,False,01/09/2016,Academic,Inactive
49,37022,14809,3702,,18511,55533,False,01/09/2016,Academic,Inactive
50,38133,15253,3813,,19066,57199,False,01/09/2016,Academic,Inactive
51,39277,15711,3928,,19639,58915,False,01/09/2016,Academic,Inactive
52,40455,16182,4046,,20228,60683,False,01/09/2016,Academic,Inactive
53,41669,16668,4167,,20835,62503,False,01/09/2016,Academic,Inactive
54,42919,17168,4292,,21460,64378,False,01/09/2016,Academic,Inactive
55,44207,17683,4421,,22104,66310,False,01/09/2016,Academic,Inactive
56,45533,18213,4553,,22766,68299,False,01/09/2016,Academic,Inactive
57,46899,18759,4690,,23449,70348,False,01/09/2016,Academic,Inactive
58,48306,19322,4831,,24153,72459,False,01/09/2016,Academic,Inactive
59,49755,19902,4975,,24877,74632,False,01/09/2016,Academic,Inactive
60,51248,20499,5125,,25624,76871,False,01/09/2016,Academic,Inactive
61,52785,21114,5278,,26392,79177,False,01/09/2016,Academic,Inactive
62,54369,21747,5437,,27184,81553,False,01/09/2016,Academic,Inactive
63,56000,22400,5600,,28000,83999,False,01/09/2016,Academic,Inactive
64,57680,23072,5768,,28840,86519,False,01/09/2016,Academic,Inactive
65,59410,23764,5941,,29705,89115,False,01/09/2016,Academic,Inactive
66,61192,24477,6119,,30596,91788,False,01/09/2016,Academic,Inactive
67,63028,25211,6303,,31514,94542,False,01/09/2016,Academic,Inactive
68,64919,25968,6492,,32460,97378,False,01/09/2016,Academic,Inactive
69,66866,26747,6687,,33434,100300,False,01/09/2016,Academic,Inactive
1,12041,4816,1204,,6020,18061,False,01/09/2016,Administration,Inactive
2,12402,4961,1240,,6201,18603,False,01/09/2016,Administration,Inactive
3,12774,5110,1277,,6387,19161,False,01/09/2016,Administration,Inactive
4,13157,5263,1316,,6579,19736,False,01/09/2016,Administration,Inactive
5,13552,5421,1355,,6776,20328,False,01/09/2016,Administration,Inactive
6,13958,5583,1396,,6979,20938,False,01/09/2016,Administration,Inactive
7,14377,5751,1438,,7189,21566,False,01/09/2016,Administration,Inactive
8,14808,5923,1481,,7404,22213,False,01/09/2016,Administration,Inactive
9,15253,6101,1525,,7626,22879,False,01/09/2016,Administration,Inactive
10,15710,6284,1571,,7855,23565,False,01/09/2016,Administration,Inactive
11,16182,6473,1618,,8091,24272,False,01/09/2016,Administration,Inactive
12,16667,6667,1667,,8334,25001,False,01/09/2016,Administration,Inactive
13,17167,6867,1717,,8584,25751,False,01/09/2016,Administration,Inactive
14,17682,7073,1768,,8841,26523,False,01/09/2016,Administration,Inactive
15,18213,7285,1821,,9106,27319,False,01/09/2016,Administration,Inactive
16,18759,7504,1876,,9380,28138,False,01/09/2016,Administration,Inactive
17,19322,7729,1932,,9661,28982,False,01/09/2016,Administration,Inactive
18,19901,7961,1990,,9951,29852,False,01/09/2016,Administration,Inactive
19,20498,8199,2050,,10249,30748,False,01/09/2016,Administration,Inactive
20,21113,8445,2111,,10556,31670,False,01/09/2016,Administration,Inactive
21,21747,8699,2175,,10874,32620,False,01/09/2016,Administration,Inactive
22,22399,8960,2240,,11200,33599,False,01/09/2016,Administration,Inactive
23,23071,9228,2307,,11535,34607,False,01/09/2016,Administration,Inactive
24,23763,9505,2376,,11881,35645,False,01/09/2016,Administration,Inactive
25,24476,9790,2448,,12238,36714,False,01/09/2016,Administration,Inactive
26,25210,10084,2521,,12605,37816,False,01/09/2016,Administration,Inactive
27,25967,10387,2597,,12984,38950,False,01/09/2016,Administration,Inactive
28,26746,10698,2675,,13373,40119,False,01/09/2016,Administration,Inactive
29,27548,11019,2755,,13774,41322,False,01/09/2016,Administration,Inactive
30,28375,11350,2837,,14187,42562,False,01/09/2016,Administration,Inactive
31,29226,11690,2923,,14613,43839,False,01/09/2016,Administration,Inactive
32,30103,12041,3010,,15051,45154,False,01/09/2016,Administration,Inactive
33,31006,12402,3101,,15503,46508,False,01/09/2016,Administration,Inactive
34,31936,12774,3194,,15968,47904,False,01/09/2016,Administration,Inactive
35,32894,13158,3289,,16447,49341,False,01/09/2016,Administration,Inactive
1,9505,3802,950,,4752,14257,False,01/09/2016,Domestic,Active
2,9790,3916,979,,4895,14685,False,01/09/2016,Domestic,Active
3,10084,4034,1008,,5042,15126,False,01/09/2016,Domestic,Active
4,10386,4155,1039,,5194,15580,False,01/09/2016,Domestic,Active
5,10698,4279,1070,,5349,16047,False,01/09/2016,Domestic,Active
6,11019,4408,1102,,5510,16528,False,01/09/2016,Domestic,Active
7,11349,4540,1135,,5675,17024,False,01/09/2016,Domestic,Active
8,11690,4676,1169,,5845,17535,False,01/09/2016,Domestic,Active
9,12041,4816,1204,,6020,18061,False,01/09/2016,Domestic,Active
10,12402,4961,1240,,6201,18603,False,01/09/2016,Domestic,Active
11,12774,5110,1277,,6387,19161,False,01/09/2016,Domestic,Active
12,13157,5263,1316,,6579,19736,False,01/09/2016,Domestic,Active
13,13552,5421,1355,,6776,20328,False,01/09/2016,Domestic,Active
14,13958,5583,1396,,6979,20938,False,01/09/2016,Domestic,Active
15,14377,5751,1438,,7189,21566,False,01/09/2016,Domestic,Active
16,14808,5923,1481,,7404,22213,False,01/09/2016,Domestic,Active
17,15253,6101,1525,,7626,22879,False,01/09/2016,Domestic,Active
18,15710,6284,1571,,7855,23565,False,01/09/2016,Domestic,Active
19,16182,6473,1618,,8091,24272,False,01/09/2016,Domestic,Active
20,16667,6667,1667,,8334,25001,False,01/09/2016,Domestic,Active
21,17167,6867,1717,,8584,25751,False,01/09/2016,Domestic,Active
22,17682,7073,1768,,8841,26523,False,01/09/2016,Domestic,Active
23,18213,7285,1821,,9106,27319,False,01/09/2016,Domestic,Active
24,18759,7504,1876,,9380,28138,False,01/09/2016,Domestic,Active
25,19322,7729,1932,,9661,28982,False,01/09/2016,Domestic,Active
26,19901,7961,1990,,9951,29852,False,01/09/2016,Domestic,Active
27,20498,8199,2050,,10249,30748,False,01/09/2016,Domestic,Active
28,21113,8445,2111,,10556,31670,False,01/09/2016,Domestic,Active
29,21747,8699,2175,,10874,32620,False,01/09/2016,Domestic,Active
30,22399,8960,2240,,11200,33599,False,01/09/2016,Domestic,Active
31,23071,9228,2307,,11535,34607,False,01/09/2016,Domestic,Active
32,23763,9505,2376,,11881,35645,False,01/09/2016,Domestic,Active
33,24476,9790,2448,,12238,36714,False,01/09/2016,Domestic,Active
34,25210,10084,2521,,12605,37816,False,01/09/2016,Domestic,Active
35,25967,10387,2597,,12984,38950,False,01/09/2016,Domestic,Active
36,26746,10698,2675,,13373,40119,False,01/09/2016,Domestic,Active
1,36301,,3630,10890,14520,50821,False,01/09/2016,Management,Inactive
2,37390,,3739,11217,14956,52346,False,01/09/2016,Management,Inactive
3,38511,,3851,11553,15404,53916,False,01/09/2016,Management,Inactive
4,39667,,3967,11900,15867,55533,False,01/09/2016,Management,Inactive
5,40857,,4086,12257,16343,57199,False,01/09/2016,Management,Inactive
6,42082,,4208,12625,16833,58915,False,01/09/2016,Management,Inactive
7,43345,,4334,13003,17337,60683,False,01/09/2016,Management,Inactive
8,44645,,4465,13394,17859,62503,False,01/09/2016,Management,Inactive
9,45985,,4598,13795,18393,64378,False,01/09/2016,Management,Inactive
10,47364,,4736,14209,18945,66310,False,01/09/2016,Management,Inactive
11,48785,,4879,14636,19515,68299,False,01/09/2016,Management,Inactive
12,50249,,5025,15075,20100,70348,False,01/09/2016,Management,Inactive
13,51756,,5176,15527,20703,72459,False,01/09/2016,Management,Inactive
14,53309,,5331,15993,21324,74632,False,01/09/2016,Management,Inactive
15,54908,,5491,16472,21963,76871,False,01/09/2016,Management,Inactive
16,56555,,5656,16967,22623,79177,False,01/09/2016,Management,Inactive
17,58252,,5825,17476,23301,81553,False,01/09/2016,Management,Inactive
18,60000,,6000,18000,24000,83999,False,01/09/2016,Management,Inactive
19,61800,,6180,18540,24720,86519,False,01/09/2016,Management,Inactive
20,63653,,6365,19096,25461,89115,False,01/09/2016,Management,Inactive
21,65563,,6556,19669,26225,91788,False,01/09/2016,Management,Inactive
22,67530,,6753,20259,27012,94542,False,01/09/2016,Management,Inactive
23,69556,,6956,20867,27823,97378,False,01/09/2016,Management,Inactive
24,71643,,7164,21493,28657,100300,False,01/09/2016,Management,Inactive
25,73792,,7379,22138,29517,103309,False,01/09/2016,Management,Inactive
26,76006,,7601,22802,30403,106408,False,01/09/2016,Management,Inactive
27,78286,,7829,23486,31315,109600,False,01/09/2016,Management,Inactive
28,80634,,8063,24190,32253,112888,False,01/09/2016,Management,Inactive
29,83053,,8305,24916,33221,116275,False,01/09/2016,Management,Inactive
30,85545,,8554,25663,34217,119763,False,01/09/2016,Management,Inactive
31,88111,,8811,26433,35244,123356,False,01/09/2016,Management,Inactive
32,90755,,9075,27226,36301,127057,False,01/09/2016,Management,Inactive
33,93477,,9348,28043,37391,130868,False,01/09/2016,Management,Inactive
34,96282,,9628,28884,38512,134794,False,01/09/2016,Management,Inactive
35,99170,,9917,29751,39668,138838,False,01/09/2016,Management,Inactive
36,102145,,10215,30644,40859,143003,False,01/09/2016,Management,Inactive
37,105210,,10521,31563,42084,147293,False,01/09/2016,Management,Inactive
38,108366,,10837,32510,43347,151712,False,01/09/2016,Management,Inactive
39,111617,,11162,33485,44647,156264,False,01/09/2016,Management,Inactive
40,114965,,11497,34490,45987,160951,False,01/09/2016,Management,Inactive
41,118414,,11841,35524,47365,165780,False,01/09/2016,Management,Inactive
42,121967,,12197,36590,48787,170753,False,01/09/2016,Management,Inactive
43,125626,,12563,37688,50251,175876,False,01/09/2016,Management,Inactive
44,129394,,12939,38818,51757,181152,False,01/09/2016,Management,Inactive
45,133276,,13328,39983,53311,186587,False,01/09/2016,Management,Inactive
46,137275,,13727,41182,54909,192184,False,01/09/2016,Management,Inactive
47,141393,,14139,42418,56557,197950,False,01/09/2016,Management,Inactive
48,145635,,14563,43690,58253,203888,False,01/09/2016,Management,Inactive
73,101141,40457,10114,,50571,151712,False,01/09/2016,Administration,Inactive
49,150004,0,15000,45001,60001,210005,False,01/09/2016,Management,Inactive
50,154504,0,15450,46351,61801,216305,False,01/09/2016,Management,Inactive
51,159139,0,15914,47742,63656,222794,False,01/09/2016,Management,Inactive
52,163913,0,16391,49174,65565,229478,False,01/09/2016,Management,Inactive
53,168830,0,16883,50649,67532,236363,False,01/09/2016,Management,Inactive
54,173895,0,17390,52169,69559,243453,False,01/09/2016,Management,Inactive
55,179112,0,17911,53734,71645,250757,False,01/09/2016,Management,Inactive
6,,,,,0,,False,01/09/2016,Domestic,Active
