Scale No,InitialBasic,HouseRent,Medical,Special,Allowances,GrossPay,IsAdhoc,Effect From,Department,Active Status
1301VF,20000,0,0,0,0,20000,True,28/07/2025,Academic,Active
1302VF,20500,0,0,0,0,20500,True,28/07/2025,Academic,Active
1303VF,21000,0,0,0,0,21000,True,28/07/2025,Academic,Active
1304VF,21500,0,0,0,0,21500,True,28/07/2025,Academic,Active
1305VF,22000,0,0,0,0,22000,True,28/07/2025,Academic,Active
1306VF,22500,0,0,0,0,22500,True,28/07/2025,Academic,Active
1307VF,23000,0,0,0,0,23000,True,28/07/2025,Academic,Active
1308VF,23500,0,0,0,0,23500,True,28/07/2025,Academic,Active
1309VF,24000,0,0,0,0,24000,True,28/07/2025,Academic,Active
1310VF,24500,0,0,0,0,24500,True,28/07/2025,Academic,Active
1311VF,25000,0,0,0,0,25000,True,28/07/2025,Academic,Active
1312VF,25500,0,0,0,0,25500,True,28/07/2025,Academic,Active
1313VF,26000,0,0,0,0,26000,True,28/07/2025,Academic,Active
1314VF,26500,0,0,0,0,26500,True,28/07/2025,Academic,Active
1315VF,27000,0,0,0,0,27000,True,28/07/2025,Academic,Active
1316VF,27500,0,0,0,0,27500,True,28/07/2025,Academic,Active
1317VF,28000,0,0,0,0,28000,True,28/07/2025,Academic,Active
1318VF,28500,0,0,0,0,28500,True,28/07/2025,Academic,Active
1319VF,29000,0,0,0,0,29000,True,28/07/2025,Academic,Active
1320VF,29500,0,0,0,0,29500,True,28/07/2025,Academic,Active
1321VF,30000,0,0,0,0,30000,True,28/07/2025,Academic,Active
1322VF,30500,0,0,0,0,30500,True,28/07/2025,Academic,Active
1323VF,31000,0,0,0,0,31000,True,28/07/2025,Academic,Active
1324VF,31500,0,0,0,0,31500,True,28/07/2025,Academic,Active
1325VF,32000,0,0,0,0,32000,True,28/07/2025,Academic,Active
1326VF,32500,0,0,0,0,32500,True,28/07/2025,Academic,Active
1327VF,33000,0,0,0,0,33000,True,28/07/2025,Academic,Active
1328VF,33500,0,0,0,0,33500,True,28/07/2025,Academic,Active
1329VF,34000,0,0,0,0,34000,True,28/07/2025,Academic,Active
1330VF,34500,0,0,0,0,34500,True,28/07/2025,Academic,Active
1331VF,35000,0,0,0,0,35000,True,28/07/2025,Academic,Active
1332VF,35500,0,0,0,0,35500,True,28/07/2025,Academic,Active
1333VF,36000,0,0,0,0,36000,True,28/07/2025,Academic,Active
1334VF,36500,0,0,0,0,36500,True,28/07/2025,Academic,Active
1335VF,37000,0,0,0,0,37000,True,28/07/2025,Academic,Active
1336VF,37500,0,0,0,0,37500,True,28/07/2025,Academic,Active
1337VF,38000,0,0,0,0,38000,True,28/07/2025,Academic,Active
1338VF,38500,0,0,0,0,38500,True,28/07/2025,Academic,Active
1339VF,39000,0,0,0,0,39000,True,28/07/2025,Academic,Active
1340VF,39500,0,0,0,0,39500,True,28/07/2025,Academic,Active
1341VF,40000,0,0,0,0,40000,True,28/07/2025,Academic,Active
1342VF,40500,0,0,0,0,40500,True,28/07/2025,Academic,Active
1343VF,41000,0,0,0,0,41000,True,28/07/2025,Academic,Active
1344VF,41500,0,0,0,0,41500,True,28/07/2025,Academic,Active
1345VF,42000,0,0,0,0,42500,True,28/07/2025,Academic,Active
1346VF,42500,0,0,0,0,42500,True,28/07/2025,Academic,Active
