ScaleNo,InitialBasic,HouseRent,Medical,GrossPay
1301VF,20000,0,0,20000
1302VF,20500,0,0,20500
1303VF,21000,0,0,21000
1304VF,21500,0,0,21500
1305VF,22000,0,0,22000
1306VF,22500,0,0,22500
1307VF,23000,0,0,23000
1308VF,23500,0,0,23500
1309VF,24000,0,0,24000
1310VF,24500,0,0,24500
1311VF,25000,0,0,25000
1312VF,25500,0,0,25500
1313VF,26000,0,0,26000
1314VF,26500,0,0,26500
1315VF,27000,0,0,27000
1316VF,27500,0,0,27500
1317VF,28000,0,0,28000
1318VF,28500,0,0,28500
1319VF,29000,0,0,29000
1320VF,29500,0,0,29500
1321VF,30000,0,0,30000
1322VF,30500,0,0,30500
1323VF,31000,0,0,31000
1324VF,31500,0,0,31500
1325VF,32000,0,0,32000
1326VF,32500,0,0,32500
1327VF,33000,0,0,33000
1328VF,33500,0,0,33500
1329VF,34000,0,0,34000
1330VF,34500,0,0,34500
1331VF,35000,0,0,35000
1332VF,35500,0,0,35500
1333VF,36000,0,0,36000
1334VF,36500,0,0,36500
1335VF,37000,0,0,37000
1336VF,37500,0,0,37500
1337VF,38000,0,0,38000
1338VF,38500,0,0,38500
1339VF,39000,0,0,39000
1340VF,39500,0,0,39500
1341VF,40000,0,0,40000
1342VF,40500,0,0,40500
1343VF,41000,0,0,41000
1344VF,41500,0,0,41500
1345VF,42000,0,0,42000
1346VF,42500,0,0,42500
1347VF,43000,0,0,43000
1348VF,43500,0,0,43500
1349VF,44000,0,0,44000
1350VF,44500,0,0,44500
1351VF,45000,0,0,45000
1352VF,45500,0,0,45500
1353VF,46000,0,0,46000
1354VF,46500,0,0,46500
1355VF,47000,0,0,47000
1356VF,47500,0,0,47500
1357VF,48000,0,0,48000
1358VF,48500,0,0,48500
1359VF,49000,0,0,49000
1360VF,49500,0,0,49500
1361VF,50000,0,0,50000
1362VF,50500,0,0,50500
1363VF,51000,0,0,51000
1364VF,51500,0,0,51500
1365VF,52000,0,0,52000
1366VF,52500,0,0,52500
1367VF,53000,0,0,53000
1368VF,53500,0,0,53500
1369VF,54000,0,0,54000
1370VF,54500,0,0,54500
1371VF,55000,0,0,55000
1372VF,55500,0,0,55500
1373VF,56000,0,0,56000
1374VF,56500,0,0,56500
1375VF,57000,0,0,57000
1376VF,57500,0,0,57500
1377VF,58000,0,0,58000
1378VF,58500,0,0,58500
1379VF,59000,0,0,59000
1380VF,59500,0,0,59500
1381VF,60000,0,0,60000
1382VF,60500,0,0,60500
1383VF,61000,0,0,61000
1384VF,61500,0,0,61500
1385VF,62000,0,0,62000
1386VF,62500,0,0,62500
1387VF,63000,0,0,63000
1388VF,63500,0,0,63500
1389VF,64000,0,0,64000
1390VF,64500,0,0,64500
1391VF,65000,0,0,65000
1392VF,65500,0,0,65500
1393VF,66000,0,0,66000
1394VF,66500,0,0,66500
1395VF,67000,0,0,67000
1396VF,67500,0,0,67500
1397VF,68000,0,0,68000
1398VF,68500,0,0,68500
1399VF,69000,0,0,69000
1400VF,69500,0,0,69500
1401VF,70000,0,0,70000
1402VF,70500,0,0,70500
1403VF,71000,0,0,71000
1404VF,71500,0,0,71500
1405VF,72000,0,0,72000
1406VF,72500,0,0,72500
1407VF,73000,0,0,73000
1408VF,73500,0,0,73500
